,Price,city,History,Millage,Ratings,Year,Make,Model,Transmission,Age
9785,,Lagos,foreign,,3.0,2011.0,Lexus,RX 200,Automatic,9.0
9786,,Lagos,foreign,,3.0,2018.0,Toyota,Camry,Automatic,2.0
9787,,Lagos,foreign,,3.0,2009.0,Toyota,Corolla,Automatic,11.0
9788,,Lagos,foreign,,3.0,2014.0,Mercedes-Benz,GL 450,Automatic,6.0
9789,,Lagos,foreign,,3.0,2010.0,Toyota,Venza,Automatic,10.0
9790,,Lagos,foreign,,3.0,2013.0,Mercedes-Benz,ML 350,Automatic,7.0
9791,,Lagos,foreign,,3.0,2005.0,Toyota,4-Runner,Automatic,15.0
9792,,Lagos,foreign,,3.0,2012.0,Toyota,Highlander,Automatic,8.0
9793,,Lagos,foreign,,3.0,2012.0,Toyota,Highlander,Automatic,8.0
9794,,Lagos,foreign,,3.0,2009.0,Lexus,RX 350,Automatic,11.0
9795,,Lagos,foreign,,3.0,2019.0,Honda,CR-V,Automatic,1.0
9796,,Lagos,foreign,,3.0,2007.0,Toyota,Highlander,Automatic,13.0
9797,,Lagos,foreign,,3.0,2014.0,Toyota,Land Cruiser,Automatic,6.0
9798,,Lagos,foreign,,3.0,2006.0,Lexus,RX 330,Automatic,14.0
9799,,Lagos,foreign,,3.0,2016.0,Lexus,LX 570,Automatic,4.0
9800,,Lagos,foreign,,3.0,2015.0,Toyota,Camry,Automatic,5.0
9801,,Lagos,foreign,,3.0,2018.0,Ford,Edge,Automatic,2.0
9802,,Abuja,foreign,,3.0,2008.0,Toyota,Camry,Automatic,12.0
9803,,Lagos,foreign,,3.0,2001.0,Toyota,RAV 4,Automatic,19.0
9804,,Lagos,foreign,,3.0,2007.0,Lexus,ES 350,Automatic,13.0
9805,,Lagos,foreign,,3.0,2010.0,Lexus,ES 350,Automatic,10.0
9806,,Lagos,foreign,,3.0,2013.0,Mercedes-Benz,ML 350,Automatic,7.0
9807,,Lagos,foreign,,3.0,2014.0,Toyota,Venza,Automatic,6.0
9808,,Lagos,foreign,,3.0,2002.0,Lexus,RX 300,Automatic,18.0
9809,,Lagos,foreign,,3.0,2012.0,GMC,Terrain,Automatic,8.0
9810,,Lagos,foreign,,3.0,2006.0,Honda,Pilot,Automatic,14.0
9811,,Lagos,foreign,,3.0,2007.0,Toyota,Camry,Automatic,13.0
9812,,Lagos,foreign,,3.0,2010.0,Toyota,Camry,Automatic,10.0
